Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,,,Berantevilla,PER_10000,Berantevilla,43.1
2022,,,Berantevilla,PER_10000,Berantevilla,0.0
2019,,,Berastegi,PER_10000,Berastegi,0.0
2021,,,Berastegi,PER_10000,Berastegi,0.0
2022,,,Berastegi,PER_10000,Berastegi,18.9
2020,,,Berastegi,PER_10000,Berastegi,0.0
2023,,,Berastegi,PER_10000,Berastegi,0.0
2023,,,Bergara,PER_10000,Bergara,32.3
2020,,,Bergara,PER_10000,Bergara,16.1
2019,,,Bergara,PER_10000,Bergara,23.9
2021,,,Bergara,PER_10000,Bergara,44.7
2022,,,Bergara,PER_10000,Bergara,44.6
2020,,,Bermeo,PER_10000,Bermeo,60.6
2019,,,Bermeo,PER_10000,Bermeo,43.1
2022,,,Bermeo,PER_10000,Bermeo,34.0
2023,,,Bermeo,PER_10000,Bermeo,54.5
2021,,,Bermeo,PER_10000,Bermeo,43.3
2023,,,Bernedo,PER_10000,Bernedo,45.0
2019,,,Bernedo,PER_10000,Bernedo,0.0
2021,,,Bernedo,PER_10000,Bernedo,0.0
2022,,,Bernedo,PER_10000,Bernedo,0.0
2020,,,Bernedo,PER_10000,Bernedo,0.0
2020,,,Berriatua,PER_10000,Berriatua,17.4
2022,,,Berriatua,PER_10000,Berriatua,17.9
2021,,,Berriatua,PER_10000,Berriatua,35.1
2019,,,Berriatua,PER_10000,Berriatua,0.0
2023,,,Berriatua,PER_10000,Berriatua,0.0
2019,,,Berriz,PER_10000,Berriz,21.4
2023,,,Berriz,PER_10000,Berriz,30.8
2020,,,Berriz,PER_10000,Berriz,34.9
2022,,,Berriz,PER_10000,Berriz,30.8
2021,,,Berriz,PER_10000,Berriz,8.8
2022,,,Berrobi,PER_10000,Berrobi,0.0
2019,,,Berrobi,PER_10000,Berrobi,33.6
2020,,,Berrobi,PER_10000,Berrobi,34.0
2023,,,Berrobi,PER_10000,Berrobi,35.6
2021,,,Berrobi,PER_10000,Berrobi,34.5
2020,,,Bidania-Goiatz,PER_10000,Bidania-Goiatz,38.0
2021,,,Bidania-Goiatz,PER_10000,Bidania-Goiatz,0.0
2022,,,Bidania-Goiatz,PER_10000,Bidania-Goiatz,0.0
2023,,,Bidania-Goiatz,PER_10000,Bidania-Goiatz,0.0
2019,,,Bidania-Goiatz,PER_10000,Bidania-Goiatz,0.0
2021,,,Bilbao,PER_10000,Bilbao,31.1
2023,,,Bilbao,PER_10000,Bilbao,41.8
2022,,,Bilbao,PER_10000,Bilbao,36.7
2019,,,Bilbao,PER_10000,Bilbao,39.0
2020,,,Bilbao,PER_10000,Bilbao,35.6
2019,,,Busturia,PER_10000,Busturia,48.9
2020,,,Busturia,PER_10000,Busturia,60.3
2022,,,Busturia,PER_10000,Busturia,11.8
2023,,,Busturia,PER_10000,Busturia,24.0
2021,,,Busturia,PER_10000,Busturia,35.5
2023,,,Campezo / Kanpezu,PER_10000,Campezo / Kanpezu,38.8
2020,,,Campezo / Kanpezu,PER_10000,Campezo / Kanpezu,0.0
2022,,,Campezo / Kanpezu,PER_10000,Campezo / Kanpezu,0.0
2021,,,Campezo / Kanpezu,PER_10000,Campezo / Kanpezu,0.0
2019,,,Campezo / Kanpezu,PER_10000,Campezo / Kanpezu,0.0
2019,,,Deba,PER_10000,Deba,7.4
2022,,,Deba,PER_10000,Deba,22.0
2023,,,Deba,PER_10000,Deba,33.0
2021,,,Deba,PER_10000,Deba,25.6
2020,,,Deba,PER_10000,Deba,11.0
2022,,,Derio,PER_10000,Derio,40.5
2021,,,Derio,PER_10000,Derio,27.7
2019,,,Derio,PER_10000,Derio,26.7
2023,,,Derio,PER_10000,Derio,66.4
2020,,,Derio,PER_10000,Derio,22.9
2021,,,Dima,PER_10000,Dima,28.1
2023,,,Dima,PER_10000,Dima,41.3
2020,,,Dima,PER_10000,Dima,69.7
2022,,,Dima,PER_10000,Dima,0.0
2019,,,Dima,PER_10000,Dima,14.1
2021,,,Donostia / San Sebastián,PER_10000,Donostia / San Sebastián,30.9
2019,,,Donostia / San Sebastián,PER_10000,Donostia / San Sebastián,38.1
2023,,,Donostia / San Sebastián,PER_10000,Donostia / San Sebastián,40.5
2022,,,Donostia / San Sebastián,PER_10000,Donostia / San Sebastián,40.7
2020,,,Donostia / San Sebastián,PER_10000,Donostia / San Sebastián,33.1
2019,,,Durango,PER_10000,Durango,31.4
2022,,,Durango,PER_10000,Durango,39.0
2020,,,Durango,PER_10000,Durango,27.2
2021,,,Durango,PER_10000,Durango,27.9
2023,,,Durango,PER_10000,Durango,35.8
2021,,,Ea,PER_10000,Ea,25.0
2023,,,Ea,PER_10000,Ea,0.0
2020,,,Ea,PER_10000,Ea,50.5
2019,,,Ea,PER_10000,Ea,25.2
2022,,,Ea,PER_10000,Ea,0.0
2020,,,Eibar,PER_10000,Eibar,41.2
2019,,,Eibar,PER_10000,Eibar,28.4
2022,,,Eibar,PER_10000,Eibar,64.7
2023,,,Eibar,PER_10000,Eibar,50.5
2021,,,Eibar,PER_10000,Eibar,43.7
2021,,,Elantxobe,PER_10000,Elantxobe,0.0
2019,,,Elantxobe,PER_10000,Elantxobe,56.8
2023,,,Elantxobe,PER_10000,Elantxobe,0.0
2022,,,Elantxobe,PER_10000,Elantxobe,0.0
2020,,,Elantxobe,PER_10000,Elantxobe,0.0
2021,,,Elburgo / Burgelu,PER_10000,Elburgo / Burgelu,0.0
2020,,,Elburgo / Burgelu,PER_10000,Elburgo / Burgelu,0.0
2022,,,Elburgo / Burgelu,PER_10000,Elburgo / Burgelu,64.7
2023,,,Elburgo / Burgelu,PER_10000,Elburgo / Burgelu,0.0
2019,,,Elburgo / Burgelu,PER_10000,Elburgo / Burgelu,0.0
2023,,,Elciego,PER_10000,Elciego,20.0
2019,,,Elciego,PER_10000,Elciego,18.8
2022,,,Elciego,PER_10000,Elciego,20.0
2020,,,Elciego,PER_10000,Elciego,0.0
2021,,,Elciego,PER_10000,Elciego,19.6
2021,,,Elduain,PER_10000,Elduain,82.6
2023,,,Elduain,PER_10000,Elduain,0.0
2022,,,Elduain,PER_10000,Elduain,80.0
2019,,,Elduain,PER_10000,Elduain,0.0
2020,,,Elduain,PER_10000,Elduain,166.7
2022,,,Elgeta,PER_10000,Elgeta,0.0
2021,,,Elgeta,PER_10000,Elgeta,0.0
2019,,,Elgeta,PER_10000,Elgeta,55.8
2023,,,Elgeta,PER_10000,Elgeta,18.5
2020,,,Elgeta,PER_10000,Elgeta,0.0
2019,,,Elgoibar,PER_10000,Elgoibar,27.4
2022,,,Elgoibar,PER_10000,Elgoibar,39.8
2020,,,Elgoibar,PER_10000,Elgoibar,34.4
2021,,,Elgoibar,PER_10000,Elgoibar,39.7
2023,,,Elgoibar,PER_10000,Elgoibar,32.7
2021,,,Elorrio,PER_10000,Elorrio,10.6
2020,,,Elorrio,PER_10000,Elorrio,13.2
2022,,,Elorrio,PER_10000,Elorrio,15.9
