Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2014,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,174.1
2017,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,173.7
2011,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,183.8
2016,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,177.1
2019,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,171.4
2012,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,186.5
2015,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,170.9
2012,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,183.4
2018,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,183.9
2014,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,180.5
2017,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,185.4
2011,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,183.8
2016,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,193.2
2015,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,180.1
2019,Consumo de agua por habitante y día,,,Etxebarria,Litros per cápita diario,Etxebarria,182.0
2017,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,148.5
2011,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,158.1
2014,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,154.8
2019,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,144.6
2016,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,151.8
2015,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,141.7
2018,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,145.5
2012,Consumo de agua por habitante y día,,,Ezkio-Itsaso,Litros per cápita diario,Ezkio-Itsaso,157.0
2015,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,172.0
2011,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,198.3
2017,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,173.7
2012,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,121.4
2014,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,122.8
2016,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,173.7
2018,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,169.0
2019,Consumo de agua por habitante y día,,,Forua,Litros per cápita diario,Forua,159.6
2017,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,170.2
2011,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,183.8
2012,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,186.4
2014,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,174.0
2018,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,172.2
2015,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,173.9
2019,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,175.4
2016,Consumo de agua por habitante y día,,,Fruiz,Litros per cápita diario,Fruiz,173.8
2017,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,145.5
2016,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,147.9
2015,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,145.8
2014,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,156.0
2018,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,145.9
2019,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,146.2
2011,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,158.1
2012,Consumo de agua por habitante y día,,,Gabiria,Litros per cápita diario,Gabiria,159.1
2017,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,156.5
2012,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,156.0
2011,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,158.1
2016,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,152.7
2018,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,152.9
2014,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,156.6
2015,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,142.8
2019,Consumo de agua por habitante y día,,,Gaintza,Litros per cápita diario,Gaintza,154.5
2016,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,176.3
2012,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,183.2
2017,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,173.6
2011,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,183.8
2014,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,175.9
2018,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,174.1
2015,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,174.6
2019,Consumo de agua por habitante y día,,,Galdakao,Litros per cápita diario,Galdakao,175.9
