Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2018,,16 years and over,,,,,Zestoa,%,Zestoa,11.7
2022,,16 years and over,,,,,Zestoa,%,Zestoa,8.0
2010,,16 years and over,,,,,Zestoa,%,Zestoa,9.8
2019,,16 years and over,,,,,Zestoa,%,Zestoa,10.8
2020,,16 years and over,,,,,Zestoa,%,Zestoa,9.9
2015,,16 years and over,,,,,Zestoa,%,Zestoa,17.7
2023,,16 years and over,,,,,Zestoa,%,Zestoa,7.3
2015,,16 years and over,,,,,Zierbena,%,Zierbena,17.5
2010,,16 years and over,,,,,Zierbena,%,Zierbena,8.4
2018,,16 years and over,,,,,Zierbena,%,Zierbena,11.9
2021,,16 years and over,,,,,Zierbena,%,Zierbena,12.2
2022,,16 years and over,,,,,Zierbena,%,Zierbena,8.5
2019,,16 years and over,,,,,Zierbena,%,Zierbena,9.1
2020,,16 years and over,,,,,Zierbena,%,Zierbena,10.8
2023,,16 years and over,,,,,Zierbena,%,Zierbena,5.9
2016,,16 years and over,,,,,Zierbena,%,Zierbena,15.6
2020,,16 years and over,,,,,Zigoitia,%,Zigoitia,5.8
2021,,16 years and over,,,,,Zigoitia,%,Zigoitia,5.4
2018,,16 years and over,,,,,Zigoitia,%,Zigoitia,4.7
2023,,16 years and over,,,,,Zigoitia,%,Zigoitia,3.9
2016,,16 years and over,,,,,Zigoitia,%,Zigoitia,7.9
2010,,16 years and over,,,,,Zigoitia,%,Zigoitia,4.8
2015,,16 years and over,,,,,Zigoitia,%,Zigoitia,8.2
2019,,16 years and over,,,,,Zigoitia,%,Zigoitia,5.0
2022,,16 years and over,,,,,Zigoitia,%,Zigoitia,5.0
2018,,16 years and over,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,9.0
2020,,16 years and over,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,5.1
2015,,16 years and over,,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,9.5
