Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,,,ES20026,PT,ES20026,9.4
2017,,,ES20026,PT,ES20026,9.9
2018,,,ES20026,PT,ES20026,9.0
2019,,,ES20026,PT,ES20026,8.2
2020,,,ES20026,PT,ES20026,7.8
2014,,,ES20027,PT,ES20027,1.6
2015,,,ES20027,PT,ES20027,1.6
2016,,,ES20027,PT,ES20027,1.7
2017,,,ES20027,PT,ES20027,2.0
2018,,,ES20027,PT,ES20027,1.7
2019,,,ES20027,PT,ES20027,1.9
2020,,,ES20027,PT,ES20027,1.6
2014,,,ES20028,PT,ES20028,1.2
2015,,,ES20028,PT,ES20028,1.2
2016,,,ES20028,PT,ES20028,1.1
2017,,,ES20028,PT,ES20028,1.2
2018,,,ES20028,PT,ES20028,0.9
2019,,,ES20028,PT,ES20028,1.1
2020,,,ES20028,PT,ES20028,1.0
2014,,,ES20029,PT,ES20029,1.1
2015,,,ES20029,PT,ES20029,1.1
2016,,,ES20029,PT,ES20029,1.1
2017,,,ES20029,PT,ES20029,1.3
2018,,,ES20029,PT,ES20029,0.9
2019,,,ES20029,PT,ES20029,1.2
2020,,,ES20029,PT,ES20029,1.2
2014,,ES2003,,PT,ES2003,0.5
2015,,ES2003,,PT,ES2003,0.5
2016,,ES2003,,PT,ES2003,0.5
2017,,ES2003,,PT,ES2003,0.7
2018,,ES2003,,PT,ES2003,0.4
2019,,ES2003,,PT,ES2003,0.6
2020,,ES2003,,PT,ES2003,0.5
2014,,,ES20030,PT,ES20030,0.1
2015,,,ES20030,PT,ES20030,0.1
2016,,,ES20030,PT,ES20030,0.2
2017,,,ES20030,PT,ES20030,0.2
2018,,,ES20030,PT,ES20030,0.2
2019,,,ES20030,PT,ES20030,0.2
2020,,,ES20030,PT,ES20030,0.2
2014,,,ES20031,PT,ES20031,7.9
2015,,,ES20031,PT,ES20031,7.0
2016,,,ES20031,PT,ES20031,5.8
2017,,,ES20031,PT,ES20031,7.2
2018,,,ES20031,PT,ES20031,6.5
2019,,,ES20031,PT,ES20031,7.8
2020,,,ES20031,PT,ES20031,7.2
2014,,,ES20032,PT,ES20032,0.3
2015,,,ES20032,PT,ES20032,0.3
2016,,,ES20032,PT,ES20032,0.3
2017,,,ES20032,PT,ES20032,0.4
2018,,,ES20032,PT,ES20032,0.3
2019,,,ES20032,PT,ES20032,0.5
2020,,,ES20032,PT,ES20032,0.4
2014,,,ES20033,PT,ES20033,0.9
2015,,,ES20033,PT,ES20033,1.0
2016,,,ES20033,PT,ES20033,1.2
2017,,,ES20033,PT,ES20033,1.5
2018,,,ES20033,PT,ES20033,0.9
2019,,,ES20033,PT,ES20033,1.3
2020,,,ES20033,PT,ES20033,1.3
2014,,,ES20034,PT,ES20034,0.7
2015,,,ES20034,PT,ES20034,0.7
2016,,,ES20034,PT,ES20034,0.8
2017,,,ES20034,PT,ES20034,1.0
2018,,,ES20034,PT,ES20034,0.9
2019,,,ES20034,PT,ES20034,1.0
2020,,,ES20034,PT,ES20034,1.0
2014,,,ES20035,PT,ES20035,1.7
2015,,,ES20035,PT,ES20035,1.7
2016,,,ES20035,PT,ES20035,1.9
2017,,,ES20035,PT,ES20035,2.5
2018,,,ES20035,PT,ES20035,1.6
2019,,,ES20035,PT,ES20035,2.1
2020,,,ES20035,PT,ES20035,1.9
2014,,,ES20036,PT,ES20036,4.5
2015,,,ES20036,PT,ES20036,5.2
2016,,,ES20036,PT,ES20036,4.8
2017,,,ES20036,PT,ES20036,6.6
2018,,,ES20036,PT,ES20036,6.0
2019,,,ES20036,PT,ES20036,5.8
2020,,,ES20036,PT,ES20036,4.7
2014,,,ES20037,PT,ES20037,13.7
2015,,,ES20037,PT,ES20037,13.9
2016,,,ES20037,PT,ES20037,13.8
2017,,,ES20037,PT,ES20037,16.5
2018,,,ES20037,PT,ES20037,12.3
2019,,,ES20037,PT,ES20037,15.7
2020,,,ES20037,PT,ES20037,14.6
2014,,,ES20038,PT,ES20038,5.7
2015,,,ES20038,PT,ES20038,6.6
2016,,,ES20038,PT,ES20038,6.3
2017,,,ES20038,PT,ES20038,6.6
2018,,,ES20038,PT,ES20038,4.9
2019,,,ES20038,PT,ES20038,5.8
2020,,,ES20038,PT,ES20038,6.2
2014,,,ES20039,PT,ES20039,18.1
2015,,,ES20039,PT,ES20039,20.7
2016,,,ES20039,PT,ES20039,19.2
2017,,,ES20039,PT,ES20039,24.7
2018,,,ES20039,PT,ES20039,23.0
2019,,,ES20039,PT,ES20039,20.8
2020,,,ES20039,PT,ES20039,17.6
