Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2023,,,ES48078,EUR,ES48078,1504.4
2022,,,ES48079,EUR,ES48079,1130.5
2023,,,ES48079,EUR,ES48079,1272.6
2022,,,ES48080,EUR,ES48080,1370.8
2023,,,ES48080,EUR,ES48080,1501.7
2022,,,ES48081,EUR,ES48081,1390.8
2023,,,ES48081,EUR,ES48081,1534.5
2022,,,ES48082,EUR,ES48082,1353.8
2023,,,ES48082,EUR,ES48082,1479.3
2022,,,ES48083,EUR,ES48083,1358.3
2023,,,ES48083,EUR,ES48083,1484.4
2022,,,ES48084,EUR,ES48084,1330.3
2023,,,ES48084,EUR,ES48084,1448.3
2022,,,ES48085,EUR,ES48085,1500.7
2023,,,ES48085,EUR,ES48085,1649.8
2022,,,ES48086,EUR,ES48086,1295.6
2023,,,ES48086,EUR,ES48086,1412.2
2022,,,ES48087,EUR,ES48087,1159.7
2023,,,ES48087,EUR,ES48087,1288.1
2022,,,ES48088,EUR,ES48088,1150.9
2023,,,ES48088,EUR,ES48088,1237.1
2022,,,ES48089,EUR,ES48089,1440.2
2023,,,ES48089,EUR,ES48089,1578.9
2022,,,ES48090,EUR,ES48090,1185.7
2023,,,ES48090,EUR,ES48090,1313.9
2022,,,ES48091,EUR,ES48091,1411.0
2023,,,ES48091,EUR,ES48091,1570.6
2022,,,ES48092,EUR,ES48092,1283.4
2023,,,ES48092,EUR,ES48092,1413.4
2022,,,ES48093,EUR,ES48093,1353.4
2023,,,ES48093,EUR,ES48093,1499.0
2022,,,ES48094,EUR,ES48094,1416.0
2023,,,ES48094,EUR,ES48094,1546.5
2022,,,ES48095,EUR,ES48095,1406.7
2023,,,ES48095,EUR,ES48095,1545.6
2022,,,ES48096,EUR,ES48096,1376.4
2023,,,ES48096,EUR,ES48096,1503.5
2022,,,ES48097,EUR,ES48097,1412.5
2023,,,ES48097,EUR,ES48097,1547.7
2022,,,ES48901,EUR,ES48901,1228.0
2023,,,ES48901,EUR,ES48901,1342.7
2022,,,ES48902,EUR,ES48902,1257.6
2023,,,ES48902,EUR,ES48902,1371.1
2022,,,ES48903,EUR,ES48903,1381.1
2023,,,ES48903,EUR,ES48903,1524.5
2022,,,ES48904,EUR,ES48904,1345.5
2023,,,ES48904,EUR,ES48904,1501.2
2022,,,ES48905,EUR,ES48905,1290.7
2023,,,ES48905,EUR,ES48905,1412.4
2022,,,ES48906,EUR,ES48906,1234.8
2023,,,ES48906,EUR,ES48906,1408.6
2022,,,ES48907,EUR,ES48907,1089.9
2023,,,ES48907,EUR,ES48907,1184.9
2022,,,ES48908,EUR,ES48908,1419.4
2023,,,ES48908,EUR,ES48908,1559.8
2022,,,ES48909,EUR,ES48909,1065.5
2023,,,ES48909,EUR,ES48909,1158.6
2022,,,ES48910,EUR,ES48910,1358.0
2023,,,ES48910,EUR,ES48910,1481.0
2022,,,ES48911,EUR,ES48911,1230.7
2023,,,ES48911,EUR,ES48911,1354.2
2022,,,ES48912,EUR,ES48912,1232.0
2023,,,ES48912,EUR,ES48912,1358.5
2022,,,ES48913,EUR,ES48913,1511.9
2023,,,ES48913,EUR,ES48913,1620.5
2022,,,ES48914,EUR,ES48914,1207.9
2023,,,ES48914,EUR,ES48914,1306.5
2022,,,ES48915,EUR,ES48915,1162.4
2023,,,ES48915,EUR,ES48915,1309.2
2022,,,,EUR,,1354.2
2023,,,,EUR,,1485.8
