Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2272.4
2010,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2349.4
2015,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2147.9
2014,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2115.6
2019,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2029.3
2018,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2071.0
2022,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,1899.1
2019,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,12701.8
2010,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,13281.6
2011,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,13542.2
2022,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,11745.1
2014,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,12013.3
2018,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,12644.7
2013,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,12940.0
2012,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,13064.8
2015,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,11928.3
2017,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,12375.5
2020,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,11112.3
2016,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,11591.6
2021,Consumo de energía eléctrica por habitante ,,,Laudio/Llodio,Kw per cápita diario,Laudio/Llodio,11068.7
2014,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2538.7
2012,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2717.5
2010,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,3009.4
2019,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2154.2
2011,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2908.0
2020,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2114.0
2016,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2423.2
2018,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2408.5
2015,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2452.3
2017,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2283.0
2013,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2670.0
2021,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,2109.3
2022,Consumo de energía eléctrica por habitante ,,,Laukiz,Kw per cápita diario,Laukiz,1981.5
2019,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4284.0
2020,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4158.9
2015,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4502.4
2011,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4396.6
2022,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4313.1
2021,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4338.9
2017,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4730.3
2016,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4471.3
2014,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4132.5
2018,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4543.2
2013,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4265.0
2010,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4431.3
2012,Consumo de energía eléctrica por habitante ,,,Lazkao,Kw per cápita diario,Lazkao,4358.3
2012,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4769.0
2011,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4920.4
2015,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4808.9
2016,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4668.1
2010,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4429.9
2017,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,5417.9
2022,Consumo de energía eléctrica por habitante ,,,Leaburu,Kw per cápita diario,Leaburu,4475.6
