Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,41.4
2017,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,38
2014,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,11722.4
2021,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,42.8
2018,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,43.4
2016,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,12816.9
2018,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,15913.9
2019,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,37.7
2014,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,37
2017,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,13330.5
2019,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,14641.7
2015,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,37
2015,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,20116.6
2018,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,41
2021,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,56.1
2016,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,19981.6
2018,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,24634.4
2021,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,60837.8
2020,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,24997.4
2017,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,23554.4
2014,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,19790.6
2015,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,39.7
2019,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,37.7
2020,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,35.7
2019,NV_IND_MANFPC,NOM,,,ES20003,EUR_PER_CAPITA,ES20003,29060.1
2017,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,41.9
2014,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,41.2
2016,NV_IND_MANF,NOM,,,ES20003,PT,ES20003,39.7
