Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,,20058,PT,20058,0.2
2016,,,20058,PT,20058,0.2
2017,,,20058,PT,20058,0.3
2018,,,20058,PT,20058,0.2
2019,,,20058,PT,20058,0.2
2020,,,20058,PT,20058,0.2
2014,,,20059,PT,20059,0.7
2015,,,20059,PT,20059,0.7
2016,,,20059,PT,20059,0.7
2017,,,20059,PT,20059,0.8
2018,,,20059,PT,20059,0.6
2019,,,20059,PT,20059,0.7
2020,,,20059,PT,20059,0.7
2014,,2006,,PT,2006,1.1
2015,,2006,,PT,2006,1.1
2016,,2006,,PT,2006,1
2017,,2006,,PT,2006,1.1
2018,,2006,,PT,2006,0.9
2019,,2006,,PT,2006,1
2020,,2006,,PT,2006,0.9
2014,,,20060,PT,20060,8.1
2015,,,20060,PT,20060,11.2
2016,,,20060,PT,20060,14
2017,,,20060,PT,20060,16.5
2018,,,20060,PT,20060,14.2
2019,,,20060,PT,20060,10.5
2020,,,20060,PT,20060,10.8
2014,,,20061,PT,20061,4.7
2015,,,20061,PT,20061,5.1
2016,,,20061,PT,20061,5.7
2017,,,20061,PT,20061,7.7
2018,,,20061,PT,20061,7.7
2019,,,20061,PT,20061,6.3
2020,,,20061,PT,20061,3.6
2014,,,20062,PT,20062,0.4
2015,,,20062,PT,20062,0.3
2016,,,20062,PT,20062,0.3
2017,,,20062,PT,20062,0.3
2018,,,20062,PT,20062,0.2
2019,,,20062,PT,20062,0.3
2020,,,20062,PT,20062,0.4
2014,,,20063,PT,20063,0.5
2015,,,20063,PT,20063,0.5
2016,,,20063,PT,20063,0.4
2017,,,20063,PT,20063,0.4
2018,,,20063,PT,20063,0.3
2019,,,20063,PT,20063,0.3
2020,,,20063,PT,20063,0.3
2014,,,20064,PT,20064,2.3
2015,,,20064,PT,20064,2.4
2016,,,20064,PT,20064,2.4
2017,,,20064,PT,20064,2.1
2018,,,20064,PT,20064,2.6
2019,,,20064,PT,20064,3.8
2020,,,20064,PT,20064,3.5
2014,,,20065,PT,20065,0.5
2015,,,20065,PT,20065,0.5
2016,,,20065,PT,20065,0.6
2017,,,20065,PT,20065,0.8
2018,,,20065,PT,20065,0.6
2019,,,20065,PT,20065,0.8
2020,,,20065,PT,20065,0.8
2014,,,20066,PT,20066,5.1
2015,,,20066,PT,20066,5.1
2016,,,20066,PT,20066,6.4
2017,,,20066,PT,20066,7.4
2018,,,20066,PT,20066,6
2019,,,20066,PT,20066,7.3
2020,,,20066,PT,20066,5.9
2014,,,20067,PT,20067,0.1
2015,,,20067,PT,20067,0.1
2016,,,20067,PT,20067,0.1
2017,,,20067,PT,20067,0.2
2018,,,20067,PT,20067,0.1
2019,,,20067,PT,20067,0.1
2020,,,20067,PT,20067,0.1
2014,,,20068,PT,20068,4.5
2015,,,20068,PT,20068,5.8
2016,,,20068,PT,20068,6.3
2017,,,20068,PT,20068,7.2
2018,,,20068,PT,20068,5
2019,,,20068,PT,20068,6.7
2020,,,20068,PT,20068,8.3
2014,,,20069,PT,20069,0.1
2015,,,20069,PT,20069,0.1
2016,,,20069,PT,20069,0
2017,,,20069,PT,20069,0
2018,,,20069,PT,20069,0
2019,,,20069,PT,20069,0
2020,,,20069,PT,20069,0
2014,,2007,,PT,2007,1.7
2015,,2007,,PT,2007,1.9
2016,,2007,,PT,2007,1.9
